sys userno topicid isum db dbcompact dbdistance crx cry cnx cny
vsn 27 40021 1 1.84760543393 102.936663467 55.7135531087 452 162 432 110
vsn 27 40021 1 2.71054546244 102.177138227 37.6961536499 394 186 380 151
vse 32 40048 0 1.27602517668 68.3954255973 53.600373133 431 247 439 300
vsn 27 40021 1 1.12067283681 101.654354514 90.7083237636 196 153 284 175
vse 33 40009 0 0.866087919961 69.4870277909 80.2309167341 445 327 476 253
vse 23 40048 0 6.63279968186 79.5935961823 12.0 515 251 515 239
vsn 27 40021 0 0.946172195165 88.8646618169 93.9201788755 514 194 425 164
vsn 31 40009 1 0.725782813989 78.6562415848 108.374351209 518 92 410 101
vsn 07 40048 1 2.4839583294 107.069841734 43.1045241245 462 124 419 121
vsn 34 40048 1 0.785292010298 88.5013991969 112.698713391 528 106 427 156
vse 05 40048 0 3.03982121394 79.0937880596 26.0192236625 502 210 528 211
vsn 32 40021 1 1.29727978805 106.661331211 82.2192191644 324 133 406 127
vse 31 40021 1 1.15564807982 96.577891005 83.5703296631 415 162 493 192
vsn 11 40048 1 0.655732880949 120.415841065 183.635508549 390 176 209 207
vsn 09 40021 1 2.1680349294 97.5615718231 45.0 435 228 399 201
vsn 13 40009 1 0.397525531347 79.9273497144 201.062179437 684 102 489 151
vsn 32 40021 1 0.744097176343 77.1926855447 103.740059765 421 131 520 100
vsn 30 40009 1 0.642467523425 69.4162300243 108.046286378 533 81 426 96
vse 19 40048 1 0.508423276043 116.099877258 228.352797224 497 112 298 224
vsn 30 40009 1 0.775351669997 66.5584201545 85.842879728 516 86 431 98
vsn 32 40021 1 0.868107373365 85.9382454706 98.9949493661 324 113 422 127
vse 24 40009 1 1.04335593013 100.601372142 96.4209520799 469 177 373 186
vse 22 40021 1 0.56773829133 123.167809551 216.944693413 503 205 307 298
vse 05 40048 1 0.301479181171 83.5407460419 277.102868986 687 132 422 213
vse 03 40021 1 2.35561331374 138.260656077 58.6941223633 380 175 422 134
vse 24 40009 1 0.295567901531 104.31160338 352.919254221 699 95 365 209
vsn 11 40048 1 0.604084339396 110.208561468 182.439030912 486 156 308 196
vse 19 40048 1 0.480895257833 109.074211022 226.814902509 516 109 299 175
vsn 32 40021 1 0.828890971972 74.2355050662 89.5600357302 435 102 521 77
vsn 32 40021 1 1.96215091663 124.608170172 63.5059052372 284 142 347 150
vse 03 40021 1 2.27037485362 125.26215875 55.1724568965 376 175 416 137
vse 31 40021 1 1.33194372747 121.272726663 91.0494371207 252 227 323 284
vsn 18 40021 1 1.30319755659 111.80948984 85.7962703152 315 203 250 259
vsn 31 40009 1 0.826431216948 120.658957674 146.0 185 280 295 184
vsn 09 40021 1 0.215900299359 69.7812345847 323.210457752 719 67 400 119
vse 15 40009 1 1.59115714089 113.876171883 71.5681493403 347 175 276 166
vsn 16 40048 1 0.59977301902 108.929414477 181.617730412 531 120 363 189
vsn 36 40021 1 1.32742914959 68.0234588545 51.2445119013 611 133 560 128
vse 14 40048 1 1.82702363257 89.3748887665 48.9182992345 215 249 178 281
vse 30 40021 1 0.663231815456 96.8341163717 146.003424617 322 139 468 140
vsn 31 40009 1 0.826431216948 120.658957674 146.0 185 280 295 184
vsn 20 40048 1 0.530809412941 104.355024605 196.596032513 543 83 348 108
vse 27 40048 1 0.538963643362 109.695984121 203.53132437 493 208 292 240
vsn 36 40021 1 0.72413712724 84.8353764501 117.153745139 577 142 460 136
vse 14 40048 0 0.869901719944 82.709311334 95.078914592 477 289 513 201
vse 26 40021 1 2.04700640545 110.803380843 54.1294744109 408 132 457 109
vsn 22 40009 1 1.18800236272 104.550957715 88.0056816348 370 218 282 219
vsn 09 40021 1 0.482782165931 103.302974811 213.974297522 640 102 428 131
vsn 09 40021 0 1.09489652883 82.1172396619 75.0 489 212 468 140
vsn 16 40048 1 0.496646805414 101.219738169 203.806280571 579 106 380 150
vse 26 40021 1 0.929823959066 100.889113185 108.503456166 539 131 437 94
vsn 11 40048 1 0.655732880949 120.415841065 183.635508549 390 176 209 207
vse 32 40048 0 1.23807478291 82.1712387967 66.3701740242 194 160 251 194
vse 19 40048 0 1.28078124003 102.374407624 79.9312204336 417 201 472 259
