sys userno topicid top5 top10 inum
vsb 18 40009 1.0 1.0 0
vsb 18 40009 1.0 1.0 0
vsb 19 40009 1.0 0.9 0
vsb 19 40009 1.0 0.8 0
vsb 19 40009 1.0 0.9 0
vsb 19 40009 1.0 0.9 1
vsb 19 40009 0.2 0.1 1
vsb 19 40009 0.0 0.0 1
vsb 19 40009 0.2 0.1 1
vsb 19 40009 0.2 0.1 1
vsb 19 40009 1.0 0.9 1
vsb 19 40009 1.0 1.0 1
vsb 19 40009 1.0 0.9 1
vsb 21 40048 1.0 1.0 0
vsb 21 40048 1.0 1.0 0
vsb 21 40048 1.0 1.0 1
vsb 21 40048 1.0 1.0 1
vsb 21 40048 1.0 1.0 1
vsb 21 40048 1.0 1.0 1
vsb 21 40048 0.2 0.1 1
vsb 21 40048 0.2 0.1 1
vsb 21 40048 0.2 0.1 1
vsb 21 40048 1.0 0.9 1
vsb 21 40048 1.0 1.0 1
vsb 21 40048 1.0 1.0 1
vsb 21 40048 0.8 0.8 1
vsb 21 40048 1.0 0.8 1
vsb 21 40048 1.0 1.0 1
vsb 12 40048 0.4 0.7 0
vsb 12 40048 1.0 1.0 0
vsb 12 40048 1.0 1.0 1
vsb 12 40048 1.0 1.0 1
vsb 12 40048 1.0 1.0 1
vsb 12 40048 1.0 1.0 1
vsb 12 40048 1.0 1.0 1
vsb 12 40048 1.0 1.0 1
vsb 12 40048 1.0 1.0 1
vsb 23 40009 1.0 0.9 0
vsb 23 40009 0.8 0.9 0
vsb 23 40009 1.0 1.0 0
vsb 23 40009 1.0 1.0 1
vsb 24 40021 1.0 1.0 0
vsb 24 40021 1.0 1.0 0
vsb 24 40021 1.0 1.0 0
vsb 24 40021 1.0 1.0 1
vsb 24 40021 1.0 1.0 1
vsb 24 40021 1.0 1.0 1
vsb 24 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 0
vsb 25 40021 1.0 1.0 0
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
vsb 25 40021 1.0 1.0 1
