"sys" "userno" "topicid" "qno" "noteno" "noteid" "docno" "p" "sysorder"
"112" "vsn" 5 40021 11 1 8310 "APW20010114.0543.0230" 1 2
"113" "vsn" 5 40021 12 1 8310 "APW20010114.0543.0230" 1 2
"114" "vse" 5 40048 1 3 8303 "APW20001112.1831.0448" 1 1
"115" "vse" 5 40048 1 8 8308 "APW20001111.0851.0294" 1 1
"116" "vse" 5 40048 1 5 8305 "PRI20001113.2000.1255" 1 1
"117" "vse" 5 40048 2 7 8307 "APW20001111.0851.0294" 1 1
"118" "vse" 5 40048 2 5 8305 "PRI20001113.2000.1255" 1 1
"119" "vse" 5 40048 3 1 8301 "APW20001112.1831.0448" 1 1
"120" "vse" 5 40048 4 2 8302 "APW20001112.1831.0448" 1 1
"121" "vse" 5 40048 6 8 8308 "APW20001111.0851.0294" 1 1
"122" "vse" 5 40048 6 2 8302 "APW20001112.1831.0448" 1 1
"123" "vse" 5 40048 7 2 8302 "APW20001112.1831.0448" 1 1
"124" "vse" 5 40048 8 4 8304 "PRI20001113.2000.1255" 0.687285 1
"125" "vse" 6 40009 1 1 8566 "NYT20001202.1028.0024" 1 3
"126" "vse" 6 40009 1 3 8569 "NYT20001202.1028.0024" 0 3
"127" "vse" 6 40009 1 26 8602 "AFA20001018.1800.0227" 1 3
"128" "vse" 6 40009 1 14 8587 "VOA20001018.2100.2160" 1 3
"129" "vse" 6 40009 1 15 8588 "VOA20001018.2100.2160" 1 3
"130" "vse" 6 40009 1 26 8602 "AFA20001018.1800.0227" 1 3
"131" "vse" 6 40009 1 18 8591 "VOA20001018.2100.2160" 0 3
"132" "vse" 6 40009 1 4 8572 "NYT20001202.1028.0024" 0 3
"133" "vse" 6 40009 2 2 8568 "NYT20001202.1028.0024" 1 3
"134" "vse" 6 40009 2 4 8572 "NYT20001202.1028.0024" 0 3
"135" "vse" 6 40009 3 22 8597 "VOA20001018.2100.2160" 1 3
"136" "vse" 6 40009 3 24 8600 "AFA20001018.1800.0227" 1 3
"137" "vse" 6 40009 3 25 8601 "AFA20001018.1800.0227" 0 3
"138" "vse" 6 40009 3 21 8595 "VOA20001018.2100.2160" 1 3
"139" "vse" 6 40009 3 12 8585 "VOA20001018.2100.2160" 1 3
"140" "vse" 6 40009 4 14 8587 "VOA20001018.2100.2160" 1 3
"141" "vse" 6 40009 4 15 8588 "VOA20001018.2100.2160" 1 3
"142" "vse" 6 40009 5 15 8588 "VOA20001018.2100.2160" 1 3
"143" "vse" 6 40009 5 19 8592 "VOA20001018.2100.2160" 0 3
"144" "vse" 6 40009 5 7 8578 "NYT20001202.1028.0024" 0 3
"145" "vse" 6 40009 5 6 8575 "NYT20001202.1028.0024" 0 3
"146" "vse" 6 40009 5 5 8574 "NYT20001202.1028.0024" 1 3
"147" "vse" 6 40009 6 23 8599 "AFA20001018.1800.0227" 1 3
"148" "vse" 6 40009 6 22 8597 "VOA20001018.2100.2160" 1 3
"149" "vse" 6 40009 6 20 8594 "VOA20001018.2100.2160" 0.99798 3
"150" "vse" 6 40009 6 16 8589 "VOA20001018.2100.2160" 1 3
"151" "vse" 6 40009 6 13 8586 "VOA20001018.2100.2160" 1 3
"152" "vse" 6 40009 6 11 8582 "VOA20001018.2100.2160" 1 3
"153" "vse" 6 40009 6 10 8581 "VOA20001018.2100.2160" 1 3
"154" "vse" 6 40009 6 8 8579 "VOA20001018.2100.2160" 0.997743 3
"155" "vse" 6 40009 7 21 8595 "VOA20001018.2100.2160" 1 3
"156" "vse" 6 40009 7 8 8579 "VOA20001018.2100.2160" 0.997743 3
"157" "vsb" 6 40021 1 2 8543 "XIN20010117.2000.0179" 0 2
"158" "vsb" 6 40021 1 6 8547 "ZBN20010115.0400.0014" 1 2
"159" "vsb" 6 40021 1 7 8548 "ZBN20010115.0400.0014" 1 2
"160" "vsb" 6 40021 1 9 8550 "ZBN20010115.0400.0014" 0 2
"161" "vsb" 6 40021 1 20 8561 "XIN20010115.2000.0144" 1 2
"162" "vsb" 6 40021 1 22 8563 "ABC20010114.1830.0045" 0 2
"163" "vsb" 6 40021 3 10 8551 "ZBN20010115.0400.0014" 0 2
"164" "vsb" 6 40021 4 9 8550 "ZBN20010115.0400.0014" 0 2
"165" "vsb" 6 40021 5 8 8549 "ZBN20010115.0400.0014" 1 2
"166" "vsb" 6 40021 5 10 8551 "ZBN20010115.0400.0014" 0 2
"167" "vsb" 6 40021 5 11 8552 "ZBN20010115.0400.0014" 1 2
"168" "vsb" 6 40021 5 15 8556 "XIN20010114.2000.0139" 0 2
"169" "vsb" 6 40021 6 5 8546 "ZBN20010115.0400.0014" 1 2
"170" "vsb" 6 40021 7 12 8553 "AFA20010114.1000.0063" 1 2
"171" "vsb" 6 40021 9 12 8553 "AFA20010114.1000.0063" 1 2
"172" "vsb" 6 40021 10 14 8555 "AFA20010114.1000.0063" 0 2
"173" "vsb" 6 40021 10 24 8565 "AFA20010114.0000.0003" 1 2
"174" "vsb" 6 40021 11 17 8558 "CTS20010115.2000.0008" 0 2
"175" "vsb" 6 40021 11 18 8559 "CTS20010115.2000.0008" 0.383784 2
"176" "vsb" 6 40021 11 2 8543 "XIN20010117.2000.0179" 0 2
"177" "vsb" 6 40021 11 1 8542 "XIN20010117.2000.0179" 0 2
"178" "vsb" 6 40021 12 18 8559 "CTS20010115.2000.0008" 0.383784 2
"179" "vsb" 6 40021 12 19 8560 "XIN20010115.2000.0144" 1 2
