sys userno topicid action poitype
vsn 12 40009 move_poi 2
vsn 12 40009 move_poi 1
vsn 12 40009 move_poi 2
vsn 12 40009 move_poi 1
vsn 12 40009 move_poi 1
vsn 12 40009 move_poi 1
vsn 12 40009 move_poi 1
vsn 12 40009 move_poi 1
vsn 12 40009 move_poi 1
vsn 12 40009 move_poi 2
vsn 12 40009 move_poi 1
vse 23 40048 move_poi 1
vse 23 40048 move_poi 1
vse 23 40048 move_poi 1
vse 23 40048 move_poi 0
vse 23 40048 move_poi 0
vse 23 40048 move_poi 0
vse 23 40048 move_poi 0
vsn 23 40021 move_poi 0
vsn 23 40021 move_poi 0
vsn 23 40021 move_poi 0
vsn 23 40021 move_poi 2
vsn 23 40021 move_poi 0
vsn 23 40021 move_poi 2
vsn 23 40021 move_poi 2
vsn 23 40021 move_poi 2
vsn 23 40021 move_poi 2
vsn 23 40021 move_poi 2
vsn 23 40021 move_poi 0
vsn 23 40021 move_poi 2
vsn 23 40021 move_poi 0
vsn 23 40021 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 2
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 1
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vsn 24 40048 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 1
vse 24 40009 move_poi 1
vse 24 40009 move_poi 1
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 1
vse 24 40009 move_poi 1
vse 24 40009 move_poi 1
vse 24 40009 move_poi 1
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 24 40009 move_poi 1
vse 24 40009 move_poi 1
vse 24 40009 move_poi 0
vse 24 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 1
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 25 40009 move_poi 1
vse 25 40009 move_poi 0
vse 25 40009 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 1
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 1
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 0
vse 26 40021 move_poi 1
