sys userno topicid qno noteno noteid docno prec
vse 06 40009 1 3 8569 NYT20001202.1028.0024 0.0
vse 06 40009 1 26 8602 AFA20001018.1800.0227 1.0
vse 06 40009 1 14 8587 VOA20001018.2100.2160 1.0
vse 06 40009 1 15 8588 VOA20001018.2100.2160 1.0
vse 06 40009 1 26 8602 AFA20001018.1800.0227 1.0
vse 06 40009 1 18 8591 VOA20001018.2100.2160 0.0
vse 06 40009 1 4 8572 NYT20001202.1028.0024 0.0
vse 06 40009 2 2 8568 NYT20001202.1028.0024 1.0
vse 06 40009 2 4 8572 NYT20001202.1028.0024 0.0
vse 06 40009 3 22 8597 VOA20001018.2100.2160 1.0
vse 06 40009 3 24 8600 AFA20001018.1800.0227 1.0
vse 06 40009 3 25 8601 AFA20001018.1800.0227 0.0
vse 06 40009 3 21 8595 VOA20001018.2100.2160 1.0
vse 06 40009 3 12 8585 VOA20001018.2100.2160 1.0
vse 06 40009 4 14 8587 VOA20001018.2100.2160 1.0
vse 06 40009 4 15 8588 VOA20001018.2100.2160 1.0
vse 06 40009 5 15 8588 VOA20001018.2100.2160 1.0
vse 06 40009 5 19 8592 VOA20001018.2100.2160 0.0
vse 06 40009 5 7 8578 NYT20001202.1028.0024 0.0
vse 06 40009 5 6 8575 NYT20001202.1028.0024 0.0
vse 06 40009 5 5 8574 NYT20001202.1028.0024 1.0
vse 06 40009 6 23 8599 AFA20001018.1800.0227 1.0
vse 06 40009 6 22 8597 VOA20001018.2100.2160 1.0
vse 06 40009 6 20 8594 VOA20001018.2100.2160 0.997979797979798
vse 06 40009 6 16 8589 VOA20001018.2100.2160 1.0
vse 06 40009 6 13 8586 VOA20001018.2100.2160 1.0
vse 06 40009 6 11 8582 VOA20001018.2100.2160 1.0
vse 06 40009 6 10 8581 VOA20001018.2100.2160 1.0
vse 06 40009 6 8 8579 VOA20001018.2100.2160 0.9977426636568849
vse 06 40009 7 21 8595 VOA20001018.2100.2160 1.0
vse 06 40009 7 8 8579 VOA20001018.2100.2160 0.9977426636568849
vsb 06 40021 1 2 8543 XIN20010117.2000.0179 0.0
vsb 06 40021 1 6 8547 ZBN20010115.0400.0014 1.0
vsb 06 40021 1 7 8548 ZBN20010115.0400.0014 1.0
vsb 06 40021 1 9 8550 ZBN20010115.0400.0014 0.0
vsb 06 40021 1 20 8561 XIN20010115.2000.0144 1.0
vsb 06 40021 1 22 8563 ABC20010114.1830.0045 0.0
vsb 06 40021 3 10 8551 ZBN20010115.0400.0014 0.0
vsb 06 40021 4 9 8550 ZBN20010115.0400.0014 0.0
vsb 06 40021 5 8 8549 ZBN20010115.0400.0014 1.0
vsb 06 40021 5 10 8551 ZBN20010115.0400.0014 0.0
vsb 06 40021 5 11 8552 ZBN20010115.0400.0014 1.0
vsb 06 40021 5 15 8556 XIN20010114.2000.0139 0.0
vsb 06 40021 6 5 8546 ZBN20010115.0400.0014 1.0
vsb 06 40021 7 12 8553 AFA20010114.1000.0063 1.0
vsb 06 40021 9 12 8553 AFA20010114.1000.0063 1.0
vsb 06 40021 10 14 8555 AFA20010114.1000.0063 0.0
vsb 06 40021 10 24 8565 AFA20010114.0000.0003 1.0
vsb 06 40021 11 17 8558 CTS20010115.2000.0008 0.0
vsb 06 40021 11 18 8559 CTS20010115.2000.0008 0.3837837837837838
vsb 06 40021 11 2 8543 XIN20010117.2000.0179 0.0
vsb 06 40021 11 1 8542 XIN20010117.2000.0179 0.0
vsb 06 40021 12 18 8559 CTS20010115.2000.0008 0.3837837837837838
vsb 06 40021 12 19 8560 XIN20010115.2000.0144 1.0
vsb 06 40021 12 2 8543 XIN20010117.2000.0179 0.0
vsb 06 40021 12 1 8542 XIN20010117.2000.0179 0.0
vsn 06 40048 1 1 8533 ZBN20001113.0400.0019 1.0
vsn 06 40048 1 7 8541 ZBN20001113.0400.0019 1.0
vsn 06 40048 1 5 8538 ZBN20001112.1300.0037 1.0
vsn 06 40048 3 3 8536 ZBN20001112.1300.0037 1.0
vsn 06 40048 4 2 8535 ZBN20001113.0400.0019 1.0
vsn 06 40048 4 6 8539 ZBN20001112.1300.0037 1.0
vsn 06 40048 5 2 8535 ZBN20001113.0400.0019 1.0
vsn 06 40048 6 4 8537 ZBN20001112.1300.0037 1.0
vsn 06 40048 7 2 8535 ZBN20001113.0400.0019 1.0
vsn 06 40048 7 6 8539 ZBN20001112.1300.0037 1.0
vsn 06 40048 8 2 8535 ZBN20001113.0400.0019 1.0
vse 07 40009 1 6 8362 AFA20001109.1800.0150 0.0
vse 07 40009 2 5 8361 XIN20001019.0200.0015 1.0
vse 07 40009 3 4 8360 XIN20001014.1400.0087 0.9987179487179487
vse 07 40009 4 3 8359 XIN20001014.1400.0087 0.0
vse 07 40009 5 2 8358 APW20010117.0520.0259 1.0
vse 07 40009 6 1 8357 AFA20001109.1800.0150 0.0
vsb 07 40021 1 2 8353 XIN20010115.1400.0118 0.8416945373467113
vsb 07 40021 2 5 8356 ZBN20010116.0400.0007 0.0
vsb 07 40021 3 4 8355 XIN20010117.2000.0179 1.0
vsb 07 40021 4 4 8355 XIN20010117.2000.0179 1.0
vsb 07 40021 5 3 8354 XIN20010114.2000.0139 0.0
vsb 07 40021 6 1 8351 APW20010114.1733.0443 1.0
vsn 07 40048 1 4 8368 ZBN20001113.0400.0019 0.5465346534653466
vsn 07 40048 2 3 8367 APW20001207.1122.0418 0.724669603524229
vsn 07 40048 3 2 8365 APW20001113.1340.0344 1.0
vsn 07 40048 6 1 8363 ANN20001113.1500.0065 1.0
vsn 08 40009 1 4 8394 AFA20001109.1800.0150 0.0
vsn 08 40009 2 3 8393 XIN20001014.1400.0087 1.0
vsn 08 40009 3 4 8394 AFA20001109.1800.0150 0.0
vsn 08 40009 5 2 8392 XIN20001014.1400.0087 1.0
vse 08 40021 1 3 8387 XIN20010115.2000.0144 1.0
vse 08 40021 2 3 8387 XIN20010115.2000.0144 1.0
vsb 08 40048 1 6 8403 APW20001112.1831.0439 1.0
vsb 08 40048 1 14 8411 APW20001113.1340.0344 1.0
vsb 08 40048 1 13 8410 NYT20001111.1525.0144 1.0
vsb 08 40048 2 7 8404 APW20001112.1831.0439 1.0
vsb 08 40048 2 11 8408 APW20001112.0900.0308 1.0
vsb 08 40048 3 4 8401 XIN20001112.0200.0028 1.0
vsb 08 40048 3 10 8407 APW20001112.0900.0308 0.0
vsb 08 40048 6 5 8402 APW20001207.1122.0418 1.0
vsb 08 40048 7 1 8398 APW20001112.1831.0439 0.0
vsb 08 40048 7 2 8399 ZBN20001116.0400.0016 1.0
vsb 08 40048 7 8 8405 APW20001112.0900.0308 1.0
vsb 08 40048 7 3 8400 APW20001207.1122.0418 1.0
vsb 08 40048 7 9 8406 APW20001112.0900.0308 0.975
vsb 09 40009 1 22 8470 APW20010111.1817.0705 1.0
vsb 09 40009 1 24 8472 XIN20001112.2000.0124 0.0
vsb 09 40009 2 3 8451 ZBN20001030.0400.0009 1.0
vsb 09 40009 2 12 8460 ALH20001020.1300.0093 1.0
vsb 09 40009 2 18 8466 XIN20001110.1400.0088 1.0
vsb 09 40009 3 2 8450 ZBN20001030.0400.0009 1.0
vsb 09 40009 3 19 8467 XIN20001110.1400.0088 1.0
vsb 09 40009 3 23 8471 APW20010111.1817.0705 0.0
vsb 09 40009 4 4 8452 ZBN20001030.0400.0009 1.0
vsb 09 40009 4 3 8451 ZBN20001030.0400.0009 1.0
vsb 09 40009 4 2 8450 ZBN20001030.0400.0009 1.0
vsb 09 40009 4 24 8472 XIN20001112.2000.0124 0.0
vsb 09 40009 5 3 8451 ZBN20001030.0400.0009 1.0
vsb 09 40009 5 5 8453 ZBN20001030.0400.0009 0.002898550724637681
vsb 09 40009 5 13 8461 ALH20001020.1300.0093 1.0
vsb 09 40009 5 19 8467 XIN20001110.1400.0088 1.0
vsb 09 40009 6 1 8449 ZBN20001030.0400.0009 1.0
vsb 09 40009 6 7 8455 ZBN20001030.0400.0009 1.0
vsb 09 40009 6 8 8456 AFA20001018.1800.0227 1.0
vsb 09 40009 6 9 8457 AFA20001018.1800.0227 1.0
vsb 09 40009 6 11 8459 AFA20001109.1800.0150 0.0
vsb 09 40009 6 13 8461 ALH20001020.1300.0093 1.0
vsb 09 40009 6 19 8467 XIN20001110.1400.0088 1.0
vsb 09 40009 6 20 8468 APW20010111.1817.0705 1.0
vsb 09 40009 6 21 8469 APW20010111.1817.0705 0.0
vsb 09 40009 6 23 8471 APW20010111.1817.0705 0.0
vsb 09 40009 7 6 8454 ZBN20001030.0400.0009 1.0
vsb 09 40009 7 7 8455 ZBN20001030.0400.0009 1.0
vsb 09 40009 7 10 8458 AFA20001109.1800.0150 0.0
vsb 09 40009 7 11 8459 AFA20001109.1800.0150 0.0
vsb 09 40009 7 20 8468 APW20010111.1817.0705 1.0
vsb 09 40009 7 21 8469 APW20010111.1817.0705 0.0
vsb 09 40009 7 23 8471 APW20010111.1817.0705 0.0
vsn 09 40021 1 10 8442 CBS20010121.0800.0231 1.0
vsn 09 40021 2 14 8446 XIN20010114.2000.0139 0.0
vsn 09 40021 2 10 8442 CBS20010121.0800.0231 1.0
vsn 09 40021 3 14 8446 XIN20010114.2000.0139 0.0
vsn 09 40021 4 2 8433 CTS20010115.2000.0008 0.0
vsn 09 40021 5 13 8445 XIN20010115.2000.0144 0.0
vsn 09 40021 5 12 8444 CTS20010123.1300.1023 1.0
vsn 09 40021 5 4 8435 CTS20010115.2000.0008 0.0
vsn 09 40021 6 6 8437 CTS20010115.2000.0008 1.0
vsn 09 40021 8 1 8432 CTS20010115.2000.0008 1.0
vsn 09 40021 9 8 8440 XIN20010114.2000.0128 1.0
vsn 09 40021 9 6 8437 CTS20010115.2000.0008 1.0
vsn 09 40021 10 9 8441 CBS20010121.0800.0231 1.0
vsn 09 40021 10 15 8447 CTS20010115.2000.0008 1.0
vsn 09 40021 10 16 8448 XIN20010115.2000.0144 1.0
vsn 09 40021 10 14 8446 XIN20010114.2000.0139 0.0
vsn 09 40021 10 5 8436 CTS20010115.2000.0008 1.0
vsn 09 40021 11 7 8439 VOM20010116.0700.0098 1.0
vsn 09 40021 11 5 8436 CTS20010115.2000.0008 1.0
vsn 09 40021 12 11 8443 CTS20010123.1300.1023 1.0
vsn 09 40021 12 7 8439 VOM20010116.0700.0098 1.0
vse 09 40048 1 3 8475 NYT20001111.1525.0144 1.0
vse 09 40048 1 8 8480 NYT20001111.1525.0144 1.0
vse 09 40048 1 10 8482 APW20001207.1122.0418 0.984251968503937
vse 09 40048 1 11 8483 APW20001207.1122.0418 1.0
vse 09 40048 1 13 8485 APW20001111.1611.0427 1.0
vse 09 40048 1 19 8491 APW20001111.0851.0294 0.0
vse 09 40048 1 25 8497 XIN20001111.0200.0012 1.0
vse 09 40048 1 26 8498 XIN20001111.0200.0012 1.0
vse 09 40048 1 27 8499 APW20001207.1122.0418 1.0
vse 09 40048 1 28 8500 APW20001207.1122.0418 0.0
vse 09 40048 1 30 8502 ZBN20001112.1300.0037 1.0
vse 09 40048 1 33 8505 ZBN20001112.1300.0037 1.0
vse 09 40048 1 34 8506 ZBN20001112.1300.0037 1.0
vse 09 40048 1 35 8507 ZBN20001112.1300.0037 1.0
vse 09 40048 1 37 8509 APW20001111.0851.0294 1.0
vse 09 40048 1 39 8511 APW20001111.0851.0294 0.0
vse 09 40048 2 13 8485 APW20001111.1611.0427 1.0
vse 09 40048 2 27 8499 APW20001207.1122.0418 1.0
vse 09 40048 2 28 8500 APW20001207.1122.0418 0.0
vse 09 40048 2 30 8502 ZBN20001112.1300.0037 1.0
vse 09 40048 2 33 8505 ZBN20001112.1300.0037 1.0
vse 09 40048 2 34 8506 ZBN20001112.1300.0037 1.0
vse 09 40048 2 35 8507 ZBN20001112.1300.0037 1.0
vse 09 40048 2 37 8509 APW20001111.0851.0294 1.0
vse 09 40048 2 39 8511 APW20001111.0851.0294 0.0
vse 09 40048 3 8 8480 NYT20001111.1525.0144 1.0
vse 09 40048 3 14 8486 APW20001111.1611.0427 1.0
vse 09 40048 3 22 8494 APW20001111.0851.0294 0.0
vse 09 40048 3 30 8502 ZBN20001112.1300.0037 1.0
