sys userno topicid action docs c1 c2 c3
vsn 35 40009 automarquee 20 156 102 95
vsn 35 40009 automarquee 10 387 144 95
vsn 35 40009 automarquee 14 450 397 95
vsn 35 40009 automarquee 23 330 112 95
vsn 36 40021 automarquee 33 147 2 100
vsn 36 40021 automarquee 47 478 11 100
vsn 36 40021 automarquee 15 429 100 100
vsn 36 40021 automarquee 22 428 100 100
vsn 36 40021 automarquee 5 460 264 100
vsn 36 40021 automarquee 6 909 181 100
vsn 36 40021 automarquee 7 568 250 100
vsn 36 40021 automarquee 38 346 17 100
vsn 36 40021 automarquee 5 436 224 100
vsn 36 40021 automarquee 30 689 207 100
vsn 36 40021 automarquee 1 187 167 100
vsn 36 40021 automarquee 35 496 5 100
vsn 36 40021 automarquee 6 381 171 100
vsn 36 40021 automarquee 33 579 147 100
vsn 36 40021 automarquee 5 390 168 100
vsn 36 40021 automarquee 14 390 170 100
vsn 36 40021 automarquee 3 264 289 100
vsn 36 40021 automarquee 29 713 6 100
vsn 36 40021 automarquee 0 73 264 100
vsn 36 40021 automarquee 3 319 243 100
vsn 36 40021 automarquee 4 308 212 100
vsn 36 40021 automarquee 10 438 311 100
vsn 36 40021 automarquee 29 325 370 100
vsn 36 40021 automarquee 30 548 159 100
vsn 36 40021 automarquee 20 577 390 100
vsn 36 40021 automarquee 4 402 207 100
vsn 36 40021 automarquee 6 419 190 100
vsn 36 40021 automarquee 27 667 4 100
vsn 36 40021 automarquee 3 382 198 100
vsn 36 40021 automarquee 21 493 187 100
vsn 36 40021 automarquee 27 899 24 100
vsn 36 40021 automarquee 28 667 2 100
vsn 36 40021 automarquee 0 86 379 100
vsn 36 40021 automarquee 29 512 174 100
vsn 36 40021 automarquee 1 539 280 100
vsn 36 40021 automarquee 24 456 27 100
vsn 36 40021 automarquee 0 82 375 100
vsn 36 40021 automarquee 4 414 196 100
vsn 36 40021 automarquee 1 470 265 100
vse 36 40048 automarquee 23 280 18 100
vse 36 40048 automarquee 16 191 411 100
vse 36 40048 automarquee 2 346 271 100
vse 36 40048 automarquee 0 222 319 100
vse 36 40048 automarquee 0 146 372 100
vse 36 40048 automarquee 0 220 334 100
