sys userno topicid top5 top10 inum
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vsn 20 40048 -1 1.0 0
vsn 20 40048 -1 1.0 0
vsn 20 40048 -1 1.0 0
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vsn 20 40048 -1 1.0 1
vse 04 40021 -1 0 0
vse 04 40021 -1 1.0 0
vse 04 40021 -1 1.0 0
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vse 04 40021 -1 1.0 1
vsn 04 40009 -1 0.7 0
vsn 04 40009 -1 0.7 0
vsn 04 40009 -1 0.7 0
vsn 04 40009 -1 0.7 0
vsn 04 40009 -1 0.7 0
vsn 04 40009 -1 0.6 0
vsn 04 40009 -1 0.6 0
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vsn 04 40009 -1 0.6 1
vse 05 40048 -1 1.0 0
vse 05 40048 -1 1.0 0
vse 05 40048 -1 1.0 0
vse 05 40048 -1 1.0 0
vse 05 40048 -1 1.0 1
vse 05 40048 -1 1.0 1
vse 05 40048 -1 0.7 1
