sys userno topicid top5 top10 inum avgx ratiox
vsn 20 40048 -1 1.0 1 503.8 0.685760517799
vsn 20 40048 -1 1.0 1 503.8 0.685760517799
vsn 20 40048 -1 1.0 1 505.7 0.682211538462
vsn 20 40048 -1 1.0 1 505.7 0.682211538462
vsn 20 40048 -1 1.0 1 521.3 0.714077669903
vsn 20 40048 -1 1.0 1 521.3 0.714077669903
vsn 20 40048 -1 1.0 1 520.6 0.708360128617
vsn 20 40048 -1 1.0 1 520.6 0.708360128617
vsn 20 40048 -1 1.0 1 523.3 0.716155088853
vsn 20 40048 -1 1.0 1 523.3 0.716155088853
vsn 20 40048 -1 1.0 1 553.5 0.766181229773
vsn 20 40048 -1 1.0 1 553.5 0.766181229773
vse 04 40021 -1 0 0 -1 -1
vse 04 40021 -1 1.0 0 494.4 0.616363636364
vse 04 40021 -1 1.0 0 263.7 0.315094339623
vse 04 40021 -1 1.0 1 263.7 0.315094339623
vse 04 40021 -1 1.0 1 293.8 0.358724832215
vse 04 40021 -1 1.0 1 276.8 0.345263157895
vse 04 40021 -1 1.0 1 344.1 0.476714801444
vse 04 40021 -1 1.0 1 341.5 0.474591651543
vse 04 40021 -1 1.0 1 340.7 0.444880546075
vse 04 40021 -1 1.0 1 340.7 0.444880546075
vse 04 40021 -1 1.0 1 362.3 0.480919931857
vse 04 40021 -1 1.0 1 362.3 0.480919931857
vse 04 40021 -1 1.0 1 407.6 0.556196943973
vse 04 40021 -1 1.0 1 407.6 0.556196943973
vse 04 40021 -1 1.0 1 411.5 0.591964285714
vse 04 40021 -1 1.0 1 416.5 0.586236933798
vse 04 40021 -1 1.0 1 430.0 0.618374558304
vse 04 40021 -1 1.0 1 424.9 0.606151142355
vse 04 40021 -1 1.0 1 421.3 0.577495769882
vse 04 40021 -1 1.0 1 432.9 0.597123519459
vse 04 40021 -1 1.0 1 432.9 0.597123519459
vse 04 40021 -1 1.0 1 430.9 0.590740740741
vse 04 40021 -1 1.0 1 430.9 0.590740740741
vse 04 40021 -1 1.0 1 442.2 0.606700167504
vse 04 40021 -1 1.0 1 441.9 0.626124567474
vse 04 40021 -1 1.0 1 430.0 0.604490500864
vse 04 40021 -1 1.0 1 432.0 0.610051993068
vse 04 40021 -1 1.0 1 432.0 0.610051993068
vsn 04 40009 -1 0.7 0 456.5 0.501748251748
vsn 04 40009 -1 0.7 0 399.4 0.531447587354
vsn 04 40009 -1 0.7 0 445.4 0.585576923077
vsn 04 40009 -1 0.7 0 435.2 0.571980676329
vsn 04 40009 -1 0.7 0 435.2 0.571980676329
vsn 04 40009 -1 0.6 0 497.9 0.680035335689
vsn 04 40009 -1 0.6 0 508.5 0.689024390244
vsn 04 40009 -1 0.6 1 508.5 0.689024390244
vsn 04 40009 -1 0.6 1 506.6 0.698993288591
vsn 04 40009 -1 0.6 1 506.6 0.698993288591
vsn 04 40009 -1 0.6 1 515.4 0.716014234875
vsn 04 40009 -1 0.6 1 515.4 0.716014234875
vsn 04 40009 -1 0.6 1 517.2 0.714381270903
vsn 04 40009 -1 0.6 1 517.2 0.714381270903
vsn 04 40009 -1 0.6 1 521.8 0.698566308244
vsn 04 40009 -1 0.6 1 521.8 0.698566308244
vsn 04 40009 -1 0.6 1 520.6 0.693928571429
vsn 04 40009 -1 0.6 1 520.6 0.693928571429
vsn 04 40009 -1 0.6 1 523.2 0.699821109123
vsn 04 40009 -1 0.6 1 523.2 0.699821109123
vse 05 40048 -1 1.0 0 481.8 0.578181818182
vse 05 40048 -1 1.0 0 481.8 0.578181818182
vse 05 40048 -1 1.0 0 506.6 0.662179487179
vse 05 40048 -1 1.0 0 387.0 0.519458544839
vse 05 40048 -1 1.0 1 435.1 0.596806722689
vse 05 40048 -1 1.0 1 618.1 0.834263565891
vse 05 40048 -1 0.7 1 442.2 0.578594249201
vse 05 40048 -1 0.8 1 609.2 0.806707317073
vse 05 40048 -1 1.0 1 677.4 0.910670731707
vsn 05 40021 -1 1.0 0 447.7 0.406666666667
vsn 05 40021 -1 1.0 0 459.8 0.624671052632
vsn 05 40021 -1 1.0 1 447.3 0.600163398693
vsn 05 40021 -1 1.0 1 465.9 0.627479674797
vsn 05 40021 -1 1.0 1 509.6 0.690675241158
vse 07 40009 -1 0.3 0 455.0 0.0
vse 07 40009 -1 0.8 0 475.7 0.568881118881
vse 07 40009 -1 0.9 0 211.5 0.244423791822
vse 07 40009 -1 0.6 1 321.6 0.406734006734
vse 07 40009 -1 0.6 1 359.6 0.473898305085
